lichess_id,ply,result,player,time_scramble_bracket,player_elo
OZMftUFC,69,1/2-1/2,White,<=5s vs 5-10s,2542
ZOdnggtV,65,1-0,White,<=5s vs 5-10s,1940
Gaf4DPtA,68,0-1,Black,<=5s vs <=5s,1136
2LttB9iL,50,0-1,Black,<=5s vs 10-15s,1027
C8bL48pq,41,1-0,White,<=5s vs 15-20s,1231
qhaGfiej,73,1-0,White,<=5s vs 5-10s,1505
SMrEfOE8,54,0-1,Black,<=5s vs 10-15s,1833
4qMQckqd,58,0-1,Black,<=5s vs 10-15s,1944
CepjOAu7,36,1/2-1/2,Black,<=5s vs 5-10s,653
yVbD4d4i,115,0-1,White,<=5s vs <=5s,2158
AUOaZBIk,79,1-0,White,<=5s vs <=5s,1185
hIbkkTtZ,49,1-0,White,<=5s vs 5-10s,1272
Dbd0blFJ,79,1-0,White,<=5s vs <=5s,1919
RZFNLW6i,175,1/2-1/2,White,<=5s vs <=5s,2663
eYViZ5nC,95,1-0,White,<=5s vs 15-20s,2601
zW42XixS,56,0-1,Black,<=5s vs 10-15s,1500
m7OXtRha,50,0-1,Black,<=5s vs 15-20s,1148
hSGvipQz,38,0-1,Black,<=5s vs 10-15s,1135
G0L3ssWo,75,1-0,White,<=5s vs 5-10s,1456
LTVsnRqc,80,0-1,Black,<=5s vs 5-10s,2022
CD6J4UNr,84,0-1,Black,<=5s vs 15-20s,2143
swssYgEY,57,1-0,White,<=5s vs 15-20s,2209
FzXuMCQu,119,1-0,White,<=5s vs 5-10s,2089
14iDpTi5,55,1-0,White,<=5s vs 5-10s,2455
OkF1hGyy,74,1-0,Black,<=5s vs <=5s,1646
Ja2XNeZJ,84,1-0,Black,<=5s vs <=5s,1806
MH3Q51Vz,61,1-0,White,<=5s vs 15-20s,1550
at2cb0m0,87,1-0,White,<=5s vs 15-20s,2298
kt7237WG,47,1-0,White,<=5s vs 5-10s,1544
xc6fArux,68,1-0,Black,<=5s vs 15-20s,2431
5eslygam,79,0-1,White,<=5s vs 5-10s,1873
hBTr7dMA,83,1-0,White,<=5s vs 10-15s,2243
ueSTdU6d,52,0-1,Black,<=5s vs 10-15s,1525
fMxnpIxr,37,1-0,White,<=5s vs 15-20s,884
J2zeWuMf,82,1-0,Black,<=5s vs 5-10s,2639
794BwVXV,91,0-1,White,<=5s vs 10-15s,1795
Y0RunA2R,155,1/2-1/2,White,<=5s vs 15-20s,1245
1PS6WdWQ,61,1-0,White,<=5s vs 15-20s,1707
sYY3lulg,80,1-0,Black,<=5s vs <=5s,1126
xS5FRUA9,59,1-0,White,<=5s vs 15-20s,1448
9Jw984b8,70,0-1,Black,<=5s vs 10-15s,2060
TSki6hn3,86,0-1,Black,<=5s vs 5-10s,2321
EwZPDoNQ,70,0-1,Black,<=5s vs 5-10s,1682
USDA0dGj,84,1/2-1/2,Black,<=5s vs 5-10s,2625
P4MiJNnZ,57,1-0,White,<=5s vs 10-15s,1440
wW0wZLNA,52,1-0,Black,<=5s vs <=5s,1009
