lichess_id,ply,result,player,player_elo,time_scramble_bracket
bSLupltm,109,1-0,White,1522,<=5s vs 10-15s
d4LLlThS,105,1-0,White,1554,<=5s vs <=5s
9YEkl1Fa,89,1-0,White,1635,<=5s vs <=5s
hS5tjSTi,51,1-0,White,1099,<=5s vs 10-15s
Xu835FHa,83,1-0,White,2472,<=5s vs <=5s
y2GvakiQ,61,1-0,White,2340,<=5s vs 15-20s
Hr4P7eng,50,0-1,Black,1006,<=5s vs 5-10s
oIQWJlP9,86,0-1,Black,1611,<=5s vs 5-10s
RrGpmsH3,77,1-0,White,2280,<=5s vs 5-10s
Xuq2Myvl,81,1-0,White,1441,<=5s vs 5-10s
QcfreXdm,79,1-0,White,2064,<=5s vs <=5s
NZRGecDI,57,1-0,White,1840,<=5s vs 15-20s
zy3B6JCl,120,1/2-1/2,Black,1842,<=5s vs <=5s
OjZQiWNf,104,0-1,Black,1584,<=5s vs <=5s
hodykvG2,58,0-1,Black,2037,<=5s vs 10-15s
Q3NFhzIj,91,1-0,White,1904,<=5s vs <=5s
K64aBbjT,49,0-1,White,1458,<=5s vs 5-10s
N0Utx87l,70,0-1,Black,1329,<=5s vs <=5s
L9MILKce,77,1-0,White,1978,<=5s vs <=5s
b01UGhaq,79,0-1,White,2204,<=5s vs <=5s
D4ekUZVO,72,0-1,Black,1432,<=5s vs 5-10s
EfPlzQs5,55,1-0,White,1119,<=5s vs 5-10s
eUk6dfhZ,80,0-1,Black,2168,<=5s vs <=5s
4XnQ02sJ,61,1-0,White,1380,<=5s vs <=5s
MEyW6p1u,80,0-1,Black,1908,<=5s vs <=5s
5M2F7y8N,145,0-1,White,2390,<=5s vs <=5s
1Yoqpc6M,127,0-1,White,2458,<=5s vs <=5s
oVLtxOT5,38,0-1,Black,1274,<=5s vs 5-10s
BO4wjsHQ,88,0-1,Black,1960,<=5s vs <=5s
KVcRrNhg,82,0-1,Black,1439,<=5s vs <=5s
RUziThUT,85,0-1,White,1969,<=5s vs <=5s
CHBrl6d8,102,1/2-1/2,Black,1569,<=5s vs <=5s
Hr4VAlrn,49,1-0,White,1190,<=5s vs <=5s
pLbBPBwj,64,0-1,Black,1313,<=5s vs 5-10s
G398WHP8,70,0-1,Black,2264,<=5s vs 15-20s
mWdq3HVZ,66,1-0,Black,2041,<=5s vs <=5s
CZLlcGct,78,0-1,Black,1243,<=5s vs <=5s
gAz7sQtW,87,1-0,White,2355,<=5s vs <=5s
UT68U8X5,102,0-1,Black,2069,<=5s vs <=5s
d6aSJf9n,74,0-1,Black,1435,<=5s vs <=5s
YfUpBSZm,77,1-0,White,2562,<=5s vs 5-10s
RbNCMnIi,98,0-1,Black,2390,<=5s vs 10-15s
fTV6TmDl,93,0-1,White,2217,<=5s vs <=5s
kYd1FAwL,102,1-0,Black,2250,<=5s vs <=5s
nRFj3C2J,59,1-0,White,1500,<=5s vs <=5s
YAhLa6gD,55,1-0,White,1608,<=5s vs 10-15s
qrhUiWzA,115,1-0,White,1406,<=5s vs 5-10s
GXdnYpw4,67,1-0,White,1448,<=5s vs <=5s
SBYSuykX,127,0-1,White,2386,<=5s vs <=5s
cEVWq8ob,93,0-1,White,2028,<=5s vs <=5s
9yPP9OOD,110,1-0,Black,2450,<=5s vs <=5s
bWzcrlcV,70,0-1,Black,1333,<=5s vs 5-10s
Sxc7GfYo,84,0-1,Black,2272,<=5s vs 5-10s
4SS4iAiT,112,0-1,Black,2035,<=5s vs <=5s
H4kY13Yc,72,0-1,Black,1241,<=5s vs 5-10s
5zXBJT8D,72,0-1,Black,2192,<=5s vs 5-10s
77agmQmB,61,1-0,White,1072,<=5s vs <=5s
xn2Jrg3F,94,0-1,Black,1922,<=5s vs 5-10s
Ehgn1y3X,55,0-1,White,1673,<=5s vs <=5s
AyOAoGC2,100,1-0,Black,2593,<=5s vs <=5s
U745z8YD,61,1-0,White,1904,<=5s vs <=5s
iSB4IdXJ,65,1-0,White,1084,<=5s vs <=5s
Q7UFGmBa,118,0-1,Black,2786,<=5s vs <=5s
oNZviZ6Y,70,0-1,Black,1280,<=5s vs <=5s
T9Hm6Jip,123,1-0,White,1901,<=5s vs 15-20s
8WZCz7dr,96,0-1,Black,2529,<=5s vs <=5s
YtebxuO4,76,1-0,Black,1211,<=5s vs <=5s
NIivjgdy,90,0-1,Black,1746,<=5s vs <=5s
gvK8062S,100,0-1,Black,2567,<=5s vs <=5s
SSHVJ3gZ,112,1/2-1/2,Black,2341,<=5s vs 5-10s
ZDiueLo9,70,0-1,Black,1617,<=5s vs 10-15s
k8WlkAL7,63,1-0,White,1522,<=5s vs 10-15s
z6YVwsSR,76,0-1,Black,1854,<=5s vs <=5s
RPvZZEuQ,126,1-0,Black,2480,<=5s vs <=5s
9gnvTcnQ,88,0-1,Black,2232,<=5s vs <=5s
AqwPyfvX,81,1-0,White,1379,<=5s vs 5-10s
azvzWjE4,67,1-0,White,1322,<=5s vs <=5s
eKWRl2hm,76,0-1,Black,2432,<=5s vs 10-15s
T3MxcVMD,69,0-1,White,1798,<=5s vs <=5s
ocMlj8zg,130,1-0,Black,2414,<=5s vs <=5s
eTdcV147,121,1-0,White,2165,<=5s vs 5-10s
Pny8cXOU,86,0-1,Black,2332,<=5s vs 15-20s
SeMoITYC,106,1-0,Black,2609,<=5s vs 10-15s
bjz9fV6W,69,0-1,White,1215,<=5s vs <=5s
LSIDk00L,66,0-1,Black,2010,<=5s vs 10-15s
AEOLgCjm,70,0-1,Black,1285,<=5s vs 15-20s
7VvuIlR3,132,0-1,Black,1944,<=5s vs <=5s
NhyhtbOS,94,0-1,Black,2005,<=5s vs <=5s
SJUm0pjl,92,0-1,Black,2148,<=5s vs <=5s
243mb57U,93,1-0,White,1953,<=5s vs <=5s
bs6qqLU9,92,1/2-1/2,Black,2165,<=5s vs <=5s
5X6qWIc5,69,1-0,White,1116,<=5s vs 15-20s
dmpfzfYE,89,1-0,White,2344,<=5s vs 10-15s
LeaGbQXi,72,1-0,Black,1895,<=5s vs <=5s
N4LUFi3G,85,1-0,White,1985,<=5s vs 5-10s
Ubqvbjof,83,0-1,White,2290,<=5s vs <=5s
3nzFrgSQ,71,1-0,White,1989,<=5s vs 10-15s
vr78xPws,70,0-1,Black,1755,<=5s vs 5-10s
ce7iEAba,72,0-1,Black,1744,<=5s vs <=5s
iK8VO0fY,66,1-0,Black,2344,<=5s vs <=5s
aedH3pPp,78,0-1,Black,1226,<=5s vs 10-15s
7uAD1toj,76,1-0,Black,1899,<=5s vs <=5s
kcRkysxA,80,0-1,Black,2125,<=5s vs <=5s
94hxZ3BG,93,1-0,White,1900,<=5s vs 10-15s
IFQSm2Gq,107,0-1,White,2676,<=5s vs <=5s
8jMNzCkm,64,1-0,Black,2018,<=5s vs <=5s
9GHFKgp2,72,0-1,Black,1963,<=5s vs <=5s
miu88820,110,0-1,Black,2188,<=5s vs 5-10s
ACi3RJIo,71,1-0,White,1775,<=5s vs 5-10s
kxxGSLhg,65,1-0,White,1229,<=5s vs 10-15s
N8atl9ks,80,0-1,Black,1516,<=5s vs <=5s
FseLLaL5,52,0-1,Black,1121,<=5s vs 5-10s
2BCCdUN2,102,0-1,Black,2199,<=5s vs <=5s
