lichess_id,ply,result,crisc_player
Mg4h6nP2,148,1-0,Black
fFRSiYzj,80,0-1,Black
SJxdEBhJ,32,0-1,Black
NMoHpgDr,58,1-0,Black
ZBKdRBYx,86,0-1,Black
V8N7aZY1,73,1-0,White
CpIdkQDw,78,1-0,Black
kvTI1RUN,84,0-1,Black
Ei1fVVvq,49,0-1,White
Dp5WEW9C,88,0-1,Black
jZ7wpIUf,118,0-1,Black
4urFuKIz,102,0-1,Black
CYDoHw7J,79,1-0,White
CYDoHw7J,87,1-0,White
tLqqHu6A,98,1-0,Black
WZQFFA5v,57,0-1,White
8HSMyd1S,85,1-0,White
75sVqONt,112,0-1,Black
4EYof3an,48,0-1,Black
BtS70NZ9,79,1-0,White
r9hQ2alc,41,1-0,White
ZOWE502u,61,1-0,White
mNmZGrTj,89,0-1,White
NuP6XS3m,86,0-1,Black
wvj6QT4t,62,1-0,Black
GAIiCguQ,70,0-1,Black
NuBN1x8S,57,0-1,White
H863M0nU,146,1-0,Black
H863M0nU,154,1-0,Black
tAoKX6nK,92,0-1,Black
Ck1HPpN5,90,1-0,Black
0VropQPc,68,0-1,Black
LRgU1FsU,82,0-1,Black
ShM9kUvR,83,1-0,White
o1iJAlq1,92,1-0,Black
HUJqjm43,99,1-0,White
PKzgdi0T,92,1-0,Black
k27zjibY,73,1-0,White
ua1QbbNX,103,1-0,White
b3vPfhgO,62,1-0,Black
9RVbJKtZ,104,1-0,Black
qINz2rFP,51,1-0,White
qP2LC9KO,63,0-1,White
w7JdguHG,40,0-1,Black
Yw9b8mni,77,1-0,White
657um1Lw,53,1-0,White
657um1Lw,81,1-0,White
tmwyFed4,63,1-0,White
71KLXD1m,71,0-1,White
PZXunZaZ,33,1-0,White
GOzq4qlQ,58,0-1,Black
CYJlMGnm,75,0-1,White
D0hrppm4,100,1-0,Black
WMHU5ucH,53,1-0,White
WXADyglR,39,1-0,White
Uh4WTaCz,42,0-1,Black
RgZS4Jrc,105,1-0,White
erB99a4s,54,0-1,Black
gDx2kHlD,87,1-0,White
qnGDEkx2,40,0-1,Black
cwy6aOXz,39,1-0,White
3Ff4u7Rz,72,1-0,Black
U2msq9V7,75,1-0,White
4uiuMefz,75,1-0,White
BEWfmz9B,57,1-0,White
vJ2vOAzj,78,0-1,Black
v7ARe3WG,91,1-0,White
pP3Cp6ms,109,0-1,White
k0qFp7zL,36,0-1,Black
5bqnzAjj,72,0-1,Black
TuZ61Fj2,54,0-1,Black
3SA7fZuG,57,1-0,White
Wdo92P8F,160,1/2-1/2,Black
FBfZrhBx,69,1-0,White
UBmiCztQ,123,1/2-1/2,White
ql1uxOg8,70,1-0,Black
ql1uxOg8,72,1-0,Black
aQ6r6fVE,59,0-1,White
QqHBVTmD,67,0-1,White
KLpK0I04,37,1-0,White
45wWpzUl,31,1-0,White
J9r1FaIb,97,0-1,White
ORGfSLvV,66,1-0,Black
1Rmbo4gh,73,0-1,White
b1MX5BtY,92,0-1,Black
xEsJJVYy,68,0-1,Black
9k3PA1ZN,85,0-1,White
5bYsy62s,45,1-0,White
0yRPTL9r,128,1-0,Black
065UBwxt,58,0-1,Black
4yTXlINO,79,1-0,White
aryZYpBy,82,0-1,Black
dQzgsQpm,46,0-1,Black
mfKH90W2,51,1-0,White
9eKaR39w,60,0-1,Black
BVFxqEHY,54,0-1,Black
z4rNCfJ8,52,0-1,Black
bZpuXiJf,103,1-0,White
khVHLMbt,79,0-1,White
aqCrisUf,91,0-1,White
Mm5O4rVE,57,1-0,White
H4E6XhMq,64,1-0,Black
BwyficuV,73,1-0,White
7eRF9V3o,50,0-1,Black
WFEovZjY,57,1-0,White
Im7n2hd3,63,1-0,White
LXqpNUce,68,1-0,Black
KSnXocw4,74,0-1,Black
QAw7SqR3,157,0-1,White
VqScPB4r,46,0-1,Black
TNKbkluw,78,1-0,Black
K2q8Ucpw,63,1-0,White
ov1h0O2A,43,1-0,White
DnpQiFeM,78,0-1,Black
8qrcF812,41,0-1,White
UWIDFEAa,63,1-0,White
5rBOgMDa,62,1/2-1/2,Black
OSji8OTO,62,1-0,Black
4w6RF9eC,60,0-1,Black
Q7IxQNGD,71,1-0,White
ThyZVw9m,62,1-0,Black
A9EVGHxn,91,1/2-1/2,White
7wcVyPnx,88,0-1,Black
iLq2hinr,41,0-1,White
